,word,freq
1,탐라간장게장에,1
2,내부가,1
3,용담이해안도로,1
4,파크로,1
5,가방은여행중,1
6,가방을부탁해로,1
7,검멀레,1
8,계양역북측주차장입구로,1
9,고부루,1
10,고이정,1
11,고이정,1
12,관탈이라는,1
13,광치기해변에,1
14,구름많고,1
15,금오름,1
16,금오름을,1
17,김포공항,3
18,깍은,1
19,꼼꼼히,1
20,남국사,1
21,너븐,1
22,너븐입니당,1
23,넉둥베기라는,1
24,노아,1
25,노형수퍼마켙,1
26,노형수퍼마켙이란,2
27,노형수퍼마켙입니다노형수퍼마켙,1
28,녹하지악,1
29,다운타우너,1
30,달큰하다,1
31,담스탭에게,1
32,답다니,2
33,대릉원사진관,1
34,대릉원사진관앞에서,1
35,더고팡,1
36,덜어먹기,1
37,도두동,1
38,도두봉,1
39,도두후레쉬를,1
40,독게왕새우튀김,1
41,돌싱글즈에,1
42,돔베고기를,1
43,드림타워냐고,1
44,등경돌燈<U+6AA0>石이라,1
45,띠띠빵빵도,1
46,띠띠빵빵에,1
47,로뎀,1
48,루시,1
49,리치를,1
50,리틀램스테이,1
51,마미포유,1
52,말깡거리라는,1
53,맨도롱,1
54,모닥치기맛집,1
55,모메든식당,1
56,모알보알이,1
57,모히토,2
58,몽상드애월,2
59,무거버거,1
60,물멍이,1
61,미깡창고감귤밭,1
62,미깡창고감귤밭에는,1
63,미스틱도,1
64,미영이네식당에,1
65,미친부엌,1
66,미친부엌,1
67,미쿠니라는,1
68,민트,1
69,바다보는날,1
70,바라나시,1
71,바이브,1
72,뱃도새기흑돼지,1
73,베케,1
74,보고타렌트카,1
75,보롬,3
76,불갑자기,1
77,불란지호텔을,1
78,불멍,1
79,브라운스위트제주호텔앤리조트에서,1
80,빛의벙커,1
81,빛의벙커와,1
82,산도롱멘도롱이,1
83,산방산유채꽃밭을,1
84,산방산탄산온천,2
85,서귀포,5
86,서귀포시,1
87,서방니임,1
88,서방니임,1
89,서빈백사,1
90,섬돼지,1
91,섭지와,1
92,섭지코지,1
93,섭지코지로,1
94,세화,1
95,세화갈비,1
96,소금빌레라고도,1
97,속닥속닥,1
98,솔트slt,1
99,송당무끈모루와도,1
100,쇠소는,1
101,쇠소깍,1
102,쇠소깍은,1
103,수렌트카를,1
104,스누피가든들어가는,1
105,스미스와,1
106,스테이,3
107,스테이인터뷰,1
108,시트러스,1
109,쌀국수,1
110,아라파니,1
111,아르떼뮤지엄,1
112,아를,1
113,아뽀밍고,1
114,아오오제주여행을,1
115,아줄레주를,1
116,아티제,1
117,안갔음,1
118,안돌오름입니다,1
119,애월,1
120,애월스테이인제주,1
121,어박사라고,1
122,에코랜드,1
123,여행왔구나,1
124,열팀정도,1
125,오는정,1
126,오또도넛,1
127,오르다카페,1
128,오르다하우스로,1
129,오메기라고,1
130,오메오메,1
131,오버더윈도우로,1
132,오션아레나,1
133,오현단五賢壇,1
134,올래,1
135,올레스테이에서,1
136,올레시장,2
137,올레시장으로,1
138,와랑와랑,1
139,왈종,1
140,용머리해안은,1
141,용연이라고,1
142,우니담,1
143,우도가,1
144,우진해장국,1
145,우진해장국우진해장국,1
146,우진해장국을,2
147,우호적무관심,1
148,울트라마린뷰는,1
149,원앤온리,1
150,원앤온리를,1
151,원앤온리에,1
152,원앤온리였습니다,1
153,월령선인장군락지,1
154,은희네,1
155,이더라운드t,1
156,이조은식당,1
157,이중섭미술관,1
158,이호테우,1
159,인스밀도,1
160,인터스텔라,1
161,일본정원입니다,1
162,자왈이,1
163,저러다,1
164,절물,1
165,제갈양,1
166,제주김만복,3
167,제주김만복을,1
168,제주김만복이,1
169,짐옮김이,1
170,찰리브라운,1
171,체인지데이즈에,1
172,치즈래요,1
173,카멜리아,1
174,카페루시아로,1
175,커큐민,1
176,커피먹는고냉이,1
177,코시롱,1
178,콘텐츠인데요,2
179,콤포스텔라,1
180,콤포스텔라라는,1
181,콤포스텔라부터,1
182,크랩잭,1
183,큰언덕이라는,1
184,큰엉식당이라는,1
185,큰엉해안경승지라는,1
186,클라이밍,1
187,탐라국입춘굿,1
188,탐라승마장을,1
189,테쉬폰페르시아,1
190,테우를,1
191,트리플이라는,2
192,판포아라,1
193,퍼시픽랜드라는,1
194,퍼시픽리솜이라는,1
195,페이보릿오랜만에,1
196,페퍼민트,1
197,플레이스캠프제주,1
198,핑크퐁,1
199,하느님,1
200,하마다게스트하우스,3
201,하모리라고,1
202,하우목항,1
203,한국적인,1
204,한라닭강정이었다,1
205,한림공원,1
206,한림공원으로,1
207,한성오메기떡에,1
208,할망이,1
209,함덕,1
210,항파두리,1
211,해월정제주,1
212,허허허하기,1
213,협재굴,1
214,흑돼지는,1
215,힐링,1
216,힐링을,1
217,힐링이였기,1
218,가든이다보니,1
