,word,date,neg,pos,log_odds_ratio
1,해가,2021-10-01,299,0,-7.10886611529646
2,해,2021-10-01,266,0,-6.99233229904051
3,못하고,2021-10-01,131,0,-6.28788556322663
4,분에,2021-10-01,99,0,-6.01025382662835
5,힘든,2021-10-01,93,0,-5.94837842291027
6,좋은,2021-10-01,0,1443,5.87008867881251
7,비싼,2021-10-01,75,0,-5.73581698092659
8,아니다,2021-10-01,75,0,-5.73581698092659
9,걱정,2021-10-01,53,0,-5.39406768720454
10,흐린,2021-10-01,53,0,-5.39406768720454
11,어려운,2021-10-01,52,0,-5.37537555419239
12,잘못,2021-10-01,47,0,-5.27628465154815
13,예쁜,2021-10-01,0,732,5.19206206124639
14,병,2021-10-01,42,0,-5.16628375633383
15,싫어서,2021-10-01,42,0,-5.16628375633383
16,힘들게,2021-10-01,42,0,-5.16628375633383
17,스트레스,2021-10-01,35,0,-4.98860257909637
18,무서워서,2021-10-01,34,0,-4.96043170212968
19,슬픈,2021-10-01,34,0,-4.96043170212968
20,힘들,2021-10-01,34,0,-4.96043170212968
21,좋아하는,2021-10-01,0,573,4.9475457556793
22,맛집,2021-10-01,0,544,4.89570215402298
23,심하게,2021-10-01,31,0,-4.87081954343999
24,후회,2021-10-01,30,0,-4.83907084512541
25,무서운,2021-10-01,29,0,-4.80628102230242
26,부족한,2021-10-01,28,0,-4.77237947062674
27,화,2021-10-01,28,0,-4.77237947062674
28,맛있게,2021-10-01,0,469,4.74764905406384
29,힘들다,2021-10-01,27,0,-4.73728815081547
30,미친,2021-10-01,26,0,-4.70092050664459
31,싫어하는,2021-10-01,25,0,-4.66318017866175
32,좋고,2021-10-01,0,410,4.61350957385597
33,좋을,2021-10-01,0,410,4.61350957385597
34,불편한,2021-10-01,23,0,-4.58313747098821
35,어려울,2021-10-01,23,0,-4.58313747098821
36,좋다,2021-10-01,0,383,4.54555891194746
37,맛있는,2021-10-01,0,382,4.54295134854038
38,못하게,2021-10-01,22,0,-4.54057785656941
39,무서워,2021-10-01,22,0,-4.54057785656941
40,부담,2021-10-01,22,0,-4.54057785656941
41,비싸다,2021-10-01,22,0,-4.54057785656941
42,싫다,2021-10-01,22,0,-4.54057785656941
43,좋아서,2021-10-01,0,373,4.51917215677427
44,어렵다,2021-10-01,21,0,-4.49612609399858
45,거친,2021-10-01,20,0,-4.44960607836369
46,귀여운,2021-10-01,0,340,4.42679883664325
47,아파서,2021-10-01,19,0,-4.40081591419425
48,아름다운,2021-10-01,0,328,4.39097411012511
49,편하게,2021-10-01,0,324,4.37874154168947
50,비만,2021-10-01,18,0,-4.3495226198067
51,벌,2021-10-01,17,0,-4.29545539853643
52,심한,2021-10-01,17,0,-4.29545539853643
53,살기,2021-10-01,16,0,-4.23829698469648
54,싫다고,2021-10-01,16,0,-4.23829698469648
55,아픈,2021-10-01,15,0,-4.17767236288004
56,장애인,2021-10-01,15,0,-4.17767236288004
57,아프고,2021-10-01,14,0,-4.11313384174247
58,예쁘게,2021-10-01,0,240,4.07971329285039
59,무섭다,2021-10-01,13,0,-4.04414097025552
60,속상,2021-10-01,13,0,-4.04414097025552
61,어렵게,2021-10-01,13,0,-4.04414097025552
62,화가,2021-10-01,13,0,-4.04414097025552
63,즐거운,2021-10-01,0,216,3.9748137129002
64,거짓말,2021-10-01,12,0,-3.9700329981018
65,불편할,2021-10-01,12,0,-3.9700329981018
66,위험한,2021-10-01,12,0,-3.9700329981018
67,이쁜,2021-10-01,0,202,3.90812233840152
68,좋아,2021-10-01,0,201,3.90318405676094
69,예쁘고,2021-10-01,0,199,3.89323372590777
70,멘붕,2021-10-01,11,0,-3.88999029042826
71,병을,2021-10-01,11,0,-3.88999029042826
72,분이나,2021-10-01,11,0,-3.88999029042826
73,실망,2021-10-01,11,0,-3.88999029042826
74,싫고,2021-10-01,11,0,-3.88999029042826
75,싫은,2021-10-01,11,0,-3.88999029042826
76,맛있다,2021-10-01,0,190,3.84718978740637
77,최고,2021-10-01,0,184,3.81527218443806
78,무섭고,2021-10-01,10,0,-3.80297891343863
79,어렵고,2021-10-01,10,0,-3.80297891343863
80,울고,2021-10-01,10,0,-3.80297891343863
81,불편,2021-10-01,9,0,-3.70766873363431
82,소름,2021-10-01,9,0,-3.70766873363431
83,심각하게,2021-10-01,9,0,-3.70766873363431
84,짜증이,2021-10-01,9,0,-3.70766873363431
85,환상,2021-10-01,9,0,-3.70766873363431
86,많다,2021-10-01,0,162,3.6886665601665
87,행복한,2021-10-01,0,152,3.62535428075217
88,무서워하는,2021-10-01,8,0,-3.60230821797648
89,불편하고,2021-10-01,8,0,-3.60230821797648
90,어려워서,2021-10-01,8,0,-3.60230821797648
91,우울한,2021-10-01,8,0,-3.60230821797648
92,잘못된,2021-10-01,8,0,-3.60230821797648
93,따뜻한,2021-10-01,0,146,3.58534894613847
94,맑은,2021-10-01,0,144,3.57165010178031
95,귀찮은,2021-10-01,7,0,-3.4845251823201
96,미련이,2021-10-01,7,0,-3.4845251823201
97,바보,2021-10-01,7,0,-3.4845251823201
98,불안한,2021-10-01,7,0,-3.4845251823201
99,불편함,2021-10-01,7,0,-3.4845251823201
100,사악한,2021-10-01,7,0,-3.4845251823201
