,sentiment,word,n,date
1,neg,해가,360,2021-03-01
2,neg,해,346,2021-03-01
3,neg,못하고,184,2021-03-01
4,neg,분에,133,2021-03-01
5,neg,힘든,115,2021-03-01
6,neg,비싼,102,2021-03-01
7,neg,흐린,80,2021-03-01
8,neg,아니다,77,2021-03-01
9,neg,걱정,72,2021-03-01
10,neg,병,71,2021-03-01
11,neg,어려운,67,2021-03-01
12,neg,잘못,66,2021-03-01
13,neg,싫어하는,61,2021-03-01
14,neg,심하게,55,2021-03-01
15,neg,힘들게,53,2021-03-01
16,neg,미친,51,2021-03-01
17,neg,부족한,48,2021-03-01
18,neg,싫어서,47,2021-03-01
19,neg,힘들,45,2021-03-01
20,neg,힘들다,45,2021-03-01
21,neg,무서워서,43,2021-03-01
22,neg,화,43,2021-03-01
23,neg,후회,36,2021-03-01
24,neg,슬픈,35,2021-03-01
25,neg,아픈,32,2021-03-01
26,neg,어렵게,31,2021-03-01
27,neg,못하게,30,2021-03-01
28,neg,무서운,29,2021-03-01
29,neg,불편한,28,2021-03-01
30,neg,불편함,26,2021-03-01
31,neg,부담,25,2021-03-01
32,neg,어렵고,23,2021-03-01
33,neg,비싸다,22,2021-03-01
34,neg,살기,22,2021-03-01
35,neg,아파서,22,2021-03-01
36,neg,스트레스,20,2021-03-01
37,neg,싫다,20,2021-03-01
38,neg,무서워,19,2021-03-01
39,neg,무섭고,19,2021-03-01
40,neg,실망,19,2021-03-01
41,neg,싫다고,18,2021-03-01
42,neg,심한,18,2021-03-01
43,neg,어려워서,18,2021-03-01
44,neg,거친,17,2021-03-01
45,neg,망할,17,2021-03-01
46,neg,무섭다,17,2021-03-01
47,neg,분이나,17,2021-03-01
48,neg,어려울,17,2021-03-01
49,neg,나쁜,16,2021-03-01
50,neg,아프고,16,2021-03-01
51,neg,아픔을,15,2021-03-01
52,neg,울고,15,2021-03-01
53,neg,바보,14,2021-03-01
54,neg,병을,14,2021-03-01
55,neg,비만,14,2021-03-01
56,neg,싫고,14,2021-03-01
57,neg,싫은,14,2021-03-01
58,neg,장애인,14,2021-03-01
59,neg,화가,14,2021-03-01
