1차_단어,1차_단어_빈도수,2차_단어,2차_단어_빈도수,3차_단어,3차_단어_빈도수,4차_단어,4차_단어_빈도수,5차_단어,5차_단어_빈도수
제주도,2375,제주도,2111,제주도,3817,제주도,6274,제주도,3117
한라산,2304,우리,1774,한라산,3324,우리,5125,한라산,2696
우리,1904,하나,1471,우리,3009,한라산,4408,우리,2649
하나,1609,주차장,1386,주차장,2732,주차장,4394,하나,2329
주차장,1376,맛집,1348,하나,2557,하나,4393,주차장,2258
행복,1342,한라산,1344,행복,2338,행복,4126,행복,1970
맛집,1288,행복,1342,맛집,2141,맛집,4020,맛집,1955
느낌,1148,느낌,1047,느낌,1805,느낌,3285,느낌,1642
힐링,1034,힐링,884,힐링,1620,힐링,3098,힐링,1464
풍경,861,해수욕장,713,풍경,1377,풍경,2126,풍경,1109
일출봉,852,풍경,681,일출봉,1256,해수욕장,2064,우도,970
산방산,813,우도,666,우도,1184,우도,2052,일출봉,962
우도,688,일출봉,650,돌하르방,1056,일출봉,1766,돌하르방,843
나무,616,돌하르방,552,나무,1002,산방산,1659,산방산,816
해수욕장,537,나무,470,해수욕장,967,애월,1414,해수욕장,793
돌하르방,501,애월,453,산방산,846,해안,1408,나무,790
사이,498,해안,438,이야기,805,나무,1397,애월,754
해안,487,이야기,433,해안,804,돌하르방,1377,해안,639
이야기,473,화장실,411,화장실,773,이야기,1294,이야기,628
애월,441,산방산,405,애월,740,사이,1173,화장실,599
화장실,412,비자림,384,사이,725,화장실,1160,사이,587
예전,400,사이,375,예전,686,예전,1115,예전,567
월정리,346,예전,350,비자림,657,비자림,1071,한잔,501
비자림,339,월정리,336,오름,568,협재,1025,타임,466
동문,328,협재,333,한잔,566,파도,905,협재,432
협재,327,동문,303,협재,499,한잔,886,동문,429
한잔,304,세화,286,동문,493,영상,856,영상,419
동네,290,한잔,270,월정리,488,중문,850,비자림,405
영상,286,타임,262,제주시,480,타임,829,파도,404
타임,285,중문,257,영상,457,월정리,824,백록담,399
제주시,283,제주시,253,파도,444,동문,805,정원,391
오름,282,동네,249,타임,444,제주시,776,하르방,381
하르방,282,영상,242,백록담,444,정원,737,제주시,373
해녀,280,파도,240,마리,433,동네,684,동네,373
세화,254,마리,237,하르방,432,세화,676,중문,371
파도,242,하르방,234,동네,429,스타일,661,오름,362
중문,239,스타일,234,세화,392,부부,642,월정리,360
마리,227,초록,223,부부,377,오름,628,세화,348
서귀포시,225,해녀,219,서귀포시,376,해녀,622,마리,329
벅스,222,부부,207,해녀,375,마리,620,스타일,324
정원,216,마농,201,산굼부리,372,벅스,619,해녀,322
부부,214,정원,191,중문,364,마농,594,우진,312
유명,211,유명,182,정원,353,초록,593,벅스,309
백록담,210,오름,181,스타일,353,하르방,582,마농,306
스타일,201,벅스,176,마농,351,서귀포시,560,부부,295
돌담,193,서귀포시,174,돌담,330,우진,540,서귀포시,278
우진,174,돌담,173,우진,312,유명,522,유명,242
초록,173,마당,154,유명,297,백록담,510,초록,226
마농,171,우진,152,벅스,295,돌담,507,돌담,222
테우,162,테우,146,초록,275,테우,455,마당,221
섭지코지,150,섭지코지,144,섭지코지,259,마당,426,한림,208
한림,143,한림,141,마당,240,한림,398,현지,205
마당,143,해바라기,124,농장,231,현지,396,농장,197
현지,127,현지,120,금오름,231,섭지코지,394,고사리,194
수목원,127,고사리,117,테우,215,금오름,386,섭지코지,190
용머리,118,만장굴,108,성판악,204,고사리,339,금오름,185
등대,114,구좌읍,98,한림,199,유일,338,전망대,174
농장,114,돌오름,94,현지,198,쇼핑,321,테우,173
고사리,110,유일,89,고사리,193,만장굴,300,수목원,170
초콜릿,105,초콜릿,88,유일,189,구좌읍,290,쇼핑,168
구좌읍,100,등대,86,구좌읍,185,카톡,290,유일,159
쉼터,99,용머리,85,등대,184,소금,270,카톡,156
공감,99,아쿠아,83,관음사,183,등대,268,소금,156
쇼핑,96,쉼터,78,용머리,181,전망대,261,관음사,138
유일,93,야시장,78,돌오름,166,약속,243,둘레길,136
봄날,87,쇼핑,76,쇼핑,163,용머리,242,약속,134
성판악,86,종달리,76,쉼터,162,쉼터,240,구좌읍,133
애월읍,82,백록담,75,둘레길,158,초콜릿,239,초콜릿,131
만장굴,81,약속,74,수목원,157,스토리,234,용머리,129
전망대,80,화이트,72,송악산,155,해바라기,232,산굼부리,123
야시장,80,카톡,71,전망대,155,모닝,223,등대,123
외돌개,80,모닝,70,공감,148,둘레길,220,쉼터,123
스토리,80,수목원,69,약속,144,애월읍,214,성판악,114
화이트,79,대화,69,만장굴,141,대화,211,송악산,111
둘레길,78,소금,68,초콜릿,137,화이트,204,화이트,107
종달리,76,터미널,66,카톡,136,아쿠아,202,안덕면,104
약속,75,한림읍,65,외돌개,134,송악산,202,모닝,104
모닝,72,공감,64,모닝,132,수목원,195,스토리,101
카톡,71,금오름,61,애월읍,124,중문관광단지,192,대화,98
중문관광단지,66,파라솔,60,대화,118,미래,190,외돌개,98
관음사,66,전망대,60,종달리,116,대포,190,야시장,95
송악산,65,수박,59,소금,114,공감,188,대포,92
대화,65,농장,57,터미널,111,농장,182,제주항공,92
한림공원,62,월정,57,화이트,107,터미널,180,만장굴,87
마카롱,59,초원,55,야시장,105,파라솔,180,터미널,86
소금,59,스토리,55,스토리,105,일품,176,라인,85
해바라기,58,중문관광단지,54,해바라기,100,야시장,175,조천읍,84
조천읍,57,둘레길,54,대포,94,안덕면,174,애월읍,84
시청,57,송당리,52,송당리,94,외돌개,174,민속마을,81
터미널,57,미래,52,미래,94,관음사,168,미래,78
성산읍,56,안덕면,51,조천읍,93,돌오름,166,나이스,76
오렌지,55,민트,51,시청,88,제주항공,164,갤럭시,74
대포,54,송악산,51,에코랜드,87,라인,157,에코랜드,72
신라호텔,53,생수,50,일품,85,놀이터,151,한림읍,70
일품,52,제주항공,49,생수,84,토마토,151,아일랜드,70
아일랜드,52,라인,48,선착장,83,민트,146,공감,69
미래,52,애월읍,47,안덕면,82,조천읍,144,중문관광단지,64
선인장,51,아일랜드,47,한림읍,82,금악,143,토마토,64
민속마을,51,토마토,46,오렌지,82,색달,141,놀이터,64
위미리,50,신라호텔,45,마카롱,79,성판악,140,슈퍼,64
